8.515138626098632812e-01,4.544477939605712891e+00,1.609864902496337891e+01,4.110124516487121582e+01,1.079904232025146484e+02,2.829861607551574707e+02,5.755043067932128906e+02,1.164142736911773682e+03,1.659599693775177002e+03
8.374330997467041016e-01,4.746706008911132812e+00,1.753724789619445801e+01,4.186907696723937988e+01,1.380958387851715088e+02,2.690553982257843018e+02,5.636591470241546631e+02,1.287879513025283813e+03,1.658027413845062256e+03
7.118949890136718750e-01,3.440263986587524414e+00,1.840924310684204102e+01,4.598016214370727539e+01,1.200024151802062988e+02,2.548164448738098145e+02,5.737866377830505371e+02,9.257746269702911377e+02,2.058240584850311279e+03
8.573229312896728516e-01,4.677278041839599609e+00,1.671965408325195312e+01,4.073927497863769531e+01,1.301254122257232666e+02,2.230194609165191650e+02,4.531591880321502686e+02,1.215280761718750000e+03,2.203689238786697388e+03
6.826531887054443359e-01,3.485448837280273438e+00,1.852525901794433594e+01,4.531854486465454102e+01,1.196667389869689941e+02,2.108486218452453613e+02,4.491704111099243164e+02,1.089330024957656860e+03,1.883104462146759033e+03
7.166850566864013672e-01,3.818018198013305664e+00,1.574873995780944824e+01,4.613989281654357910e+01,9.522601294517517090e+01,2.357934851646423340e+02,4.610831973552703857e+02,1.040186167716979980e+03,2.145518955945968628e+03
7.589747905731201172e-01,4.586688041687011719e+00,1.590564680099487305e+01,5.226721620559692383e+01,1.409574909210205078e+02,2.342975749969482422e+02,4.788381078243255615e+02,1.099279879808425903e+03,1.876178882837295532e+03
6.731200218200683594e-01,3.791226148605346680e+00,1.885993981361389160e+01,3.683853816986083984e+01,9.805542588233947754e+01,2.877017352581024170e+02,4.493456261157989502e+02,8.665455009937286377e+02,1.550613031148910522e+03
8.018450736999511719e-01,4.659101247787475586e+00,1.804376173019409180e+01,3.710404706001281738e+01,1.045879039764404297e+02,6.845009210109710693e+02,4.754872260093688965e+02,1.419673102855682373e+03,1.663991060018539429e+03
6.352651119232177734e-01,4.208697795867919922e+00,1.434624791145324707e+01,4.581569004058837891e+01,1.211149630546569824e+02,2.789838020801544189e+02,5.325649619102478027e+02,1.333491911888122559e+03,2.161227923870086670e+03
