-1.0879,-0.6683,-1.0801,1,1
-0.73881,-1.1854,-0.67779,1,1
0.10138,-0.86649,-0.85661,1,1
-0.95135,-0.83247,-1.196,1,1
-0.89597,-1.3955,-0.86726,1,1
-0.87085,-0.90708,-0.99947,1,1
-1.1919,-0.45867,-1.1268,1,1
-0.92741,-1.5124,-1.2581,1,1
-1.2714,-1.2254,-1.1282,1,1
-0.9694,-1.3793,-0.86856,1,1
-1.2422,-1.0926,-1.375,1,1
-1.4575,-1.4294,-0.89979,1,1
-1.1542,-1.0293,-0.8925,1,1
-0.29292,-0.89766,-0.88379,1,1
-0.49358,-1.0597,-0.8097,1,1
-0.93632,-0.98312,-0.91085,1,1
-1.2768,-1.3709,-1.7022,1,1
-1.5498,-0.87108,-0.82778,1,1
-1.1554,-1.0747,-0.7255,1,1
-1.0354,-0.56202,-0.39903,1,1
-1.1644,-0.88154,-1.4781,1,1
-0.81668,-1.2671,-0.54469,1,1
-0.53757,-0.6906,-1.1898,1,1
-0.82308,-0.61887,-1.0012,1,1
-0.72156,-0.91847,-1.3998,1,1
-0.88293,-0.96477,-1.2378,1,1
-1.4777,-1.0324,-0.91016,1,1
-0.91662,-1.6242,-1.2399,1,1
-0.88515,-1.046,-1.5519,1,1
-1.532,-0.84886,-0.72576,1,1
-0.97823,-1.128,-1.1677,1,1
-0.70823,-1.2275,-0.77138,1,1
-1.6928,-1.3897,-1.3997,1,1
-1.0769,-1.3995,-0.97861,1,1
-0.98211,-1.3485,-0.74175,1,1
-0.77579,-1.2477,-1.4101,1,1
-0.39771,-0.89737,-0.91718,1,1
-0.97064,-0.33825,-1.1326,1,1
-1.0136,-0.56798,-1.4088,1,1
-0.98393,-0.5453,-0.73366,1,1
-0.6897,-0.61737,-0.12953,1,1
-1.7472,-0.7463,-1.2341,1,1
-1.2481,-0.61705,-0.65315,1,1
-0.63926,-1.1317,-1.0608,1,1
-0.86415,-1.0769,-0.96619,1,1
-0.83684,-0.71039,-0.89323,1,1
-0.71375,-1.1267,-1.0593,1,1
-1.0248,-0.7782,-1.4078,1,1
-1.6975,-0.74028,-0.82286,1,1
-0.34265,-1.0428,-0.86832,1,1
-1.1722,-0.7496,-0.97282,1,1
-1.3806,-1.3098,-0.86977,1,1
-1.2039,-1.2201,-1.2211,1,1
